Webname,Apis,RAM-Metric,Browser Events,Browser Events,Browser Events,Browser Events,CPU
0.0003339595074097266,0.35930691014733335,0.7213770844540075,0.26012176560121764,0.19276755998039663,0.4046204414374842,0.19860888550492292,0.31703993882083553
0.071759549154665,0.2656844435221693,0.7402044109736418,0.10563165905631659,0.08512907879442869,0.14403519551702065,0.14324622523697741,0.08973367779183866
0.10135671049885202,0.10652279172719098,0.6892738031199569,0.06179604261796043,0.04855511397363657,0.029502514813805676,0.07281720918435704,0.04223369809156095
0.0031308703819661866,0.023379677664798926,0.7794298009682624,0.22770167427701674,0.011049436385095639,0.08305768600607279,0.09260648438260392,0.13239205418062389
0.18367772907534963,0.46406585045306775,0.8723830016137707,1.0,0.07098139990461068,0.36025869127555477,0.7250491327187296,0.5515112824155157
0.01068670423711125,0.18423601023725528,0.6980742334588488,0.07747336377473364,0.028679108235319436,0.15241502008076152,0.14804853504310916,0.13623049136590665
1.0,0.25108943764266456,0.9650995158687466,0.8162861491628615,0.17749462293214605,1.0,1.0,1.0
0.022584011688582758,0.30915819326277943,0.7974825174825174,0.12907153729071538,0.18310971376494342,0.32513670751722684,0.23358765257156458,0.06335326954014754
0.22680025046963057,0.15293629383689572,0.7119741796664874,0.12100456621004566,0.06646680915050515,0.19116676471848532,0.2018241971603252,0.08747008878798669
0.17169693174702566,0.3570588642180259,0.793480365788058,0.037747336377473364,0.0413999686121582,0.19311934755373467,0.0680894292608257,0.05688917810751651
0.005176372364850762,0.09462544096285522,0.6925874125874126,0.4141552511415525,0.037360806263609915,0.1367630559003294,0.22905429832166083,0.06851065896131926
0.2910039657691505,0.12433423255170512,0.6654545454545455,0.10380517503805176,0.04009786689265571,0.1304789761144894,0.16098917195919685,0.0975262497586253
0.08090169067000626,0.10192294390260768,0.6975147928994083,0.07701674277016743,0.0655593772779313,0.2094492683035453,0.14718496180070165,0.052596117451668686
0.015529117094552285,0.04886905997094838,0.6296718665949436,0.053729071537290715,0.01783169453133698,0.030039250611579478,0.042571082768493466,0.06944712897722434
0.015445627217699855,0.06595420903368608,0.7104895104895105,0.059056316590563165,0.02322020110014969,0.11257985524141474,0.13981056472743483,0.07239265306522781
0.31362972239615944,0.5455488690599714,0.7410435718128026,0.3669710806697108,0.29729179853493054,0.27786246169129547,0.3592707747094878,0.49878041149112795
0.01728240450845335,0.18070830739434166,0.6784507799892415,0.06864535768645358,0.046563462836099336,0.012409710920650591,0.026412703779812783,0.03700008451535151
0.003882279273638071,0.04357750570657828,0.791027434104357,0.09771689497716896,0.0271633907592002,0.14217918631229964,0.15176692269837125,0.14940640334352187
0.12097683155917345,0.10645362108321221,0.7942980096826251,0.115220700152207,0.04565392568917945,0.15696004668579872,0.2224665141849746,0.09843549658566533
0.15395533291588395,0.1610638445043924,0.7012372243141474,0.11339421613394216,0.08322770207280988,0.1786354874818897,0.22501915894563265,0.14883336012175863
0.0011271133375078271,0.025627723594106738,0.6641420118343195,0.10167427701674277,0.011111668463516081,0.022328404672369427,0.03059042155213903,0.03855723782900189
0.001628052598622417,1.0,0.7941043571812801,0.4092846270928463,1.0,0.7559863516684865,0.3358975895194134,0.24037736467934512
0.18889584637862658,0.03496576053123048,0.7318558364712211,0.03972602739726028,0.012579890818994927,0.09471227854846792,0.08514054530312201,0.06743943573003168
0.2229597161344187,0.2672753683336792,0.8448413125336202,0.1806697108066971,0.13962074585812279,0.3605615150074135,0.3573459622764597,0.1773888827500053
0.001628052598622417,0.014733347167461988,0.7579774072081764,0.03744292237442922,0.022341316826999684,0.028537263837553967,0.08511543200112916,0.13621687989950856
0.07284491755374661,0.258421525904406,0.7291877353415815,0.18645357686453576,0.07453317588672496,0.4052408905824608,0.1602341530457992,0.18306759185346017
0.1851805468586934,0.3420488344746491,0.7110704679935449,0.1780821917808219,0.167061444115782,0.2452496938075192,0.23973230839265292,0.2360951932037147
0.47217699853892714,0.1650757418551567,0.7955890263582571,0.5540334855403348,0.11833218137421092,0.36028344122210704,0.4097339122756391,0.3214623084556365
0.03844708829054477,0.04215950750501481,0.7379881656804734,0.04809741248097413,0.0327295829729819,0.017603576438519453,0.05340706378531759,0.026531495624038413
0.04913379252765602,0.049041986580894925,0.7600860677783755,0.8287671232876712,0.06466516656488996,0.15945276239561068,0.3766329711330614,0.16170573612855668
0.14664996869129618,0.06671508611745176,0.8753308230231307,0.5242009132420091,0.06560706890425097,0.420843112052056,0.3367797950710144,0.26856265494631537
0.07777082028804007,0.1352977796223285,0.7375793437331898,0.08386605783866058,0.053646972533139665,0.24077333640232268,0.3282996031544552,0.06065819655657897
0.019453141306616573,0.08054921491319078,0.7477998924152771,0.04429223744292238,0.03054702503810624,0.09364827013957057,0.15920531813411656,0.11835861893763294
0.010102275099144228,0.01940236563602428,0.7678967186659493,0.9289193302891933,0.025152314914599683,0.13572476810101985,0.2315097301417654,0.38730375656029264
0.10916301398455437,0.2590440617002144,0.6947175901022056,0.7859969558599695,0.11274081000791684,0.2895796572707898,0.7102006954479603,0.392138554047314
0.007722813608849927,0.47053330566507556,0.7247337278106509,0.3015220700152207,0.23268555174000907,0.20099737750249597,0.38377324791359047,0.15614816914297758
0.08753913587977458,0.09490212353877028,0.8959440559440558,0.17245053272450533,0.08244498699522906,0.3522035287342171,0.3345025865858883,0.2847671211790578
0.021498643289501147,0.13813377602545499,0.7758579881656804,0.08493150684931507,0.0713124060907694,0.15552333196477042,0.22045745058083607,0.09802851353398646
0.2089751617616364,0.356747596320122,0.703733189887036,0.16910197869101978,0.11952946821534172,0.07540216363174766,0.24782688994272647,0.11093900174443633
0.06537257357545398,0.06920522930068465,0.709435180204411,0.0802130898021309,0.023583067188589678,0.0840833561400203,0.14227166738417388,0.10766544083046886
0.00809851805468587,0.033962786193539596,0.6962237762237761,0.036986301369863014,0.012176013880016061,0.05314364137197112,0.13405313972096655,0.04754353630959256
0.005134627426424546,0.06408660164626111,0.6407746100053793,0.03881278538812785,0.007156268177516383,0.028086182499274224,0.04243012426918936,0.05023724809175808
